preds,labels
0.13272238,0
0.3319591,0
0.19771206,0
0.08681203,0
0.7801441,0
0.78417486,0
0.75501895,0
0.7789927,0
0.18280496,0
0.1323887,0
0.18069439,0
0.16091275,0
0.66951156,0
0.2476322,0
0.67269236,0
0.4219425,0
0.122993425,0
0.08578068,0
0.07735743,0
0.27386275,0
0.23903322,0
0.39629468,0
0.3769462,0
0.20437224,0
0.38397253,0
0.2933635,0
0.7323053,0
0.7904556,0
0.5683141,0
0.6972383,0
0.38573107,0
0.51946527,0
0.38090125,0
0.068638965,0
0.27728176,0
0.24725525,0
0.38662788,0
0.79294395,0
0.24984853,0
0.5805907,0
0.6364491,0
0.08878386,0
0.09726778,0
0.13668317,0
0.11590421,0
0.8500693,0
0.58183545,0
0.79209083,0
0.04536231,0
0.06974269,0
0.3572201,0
0.5624067,0
0.06326513,0
0.049146082,0
0.04733794,0
0.11697437,0
0.10596694,0
0.40176082,0
0.22652979,0
0.3999788,0
0.7473226,0
0.69807386,0
0.322419,0
0.3822893,0
0.39428282,0
0.766493,0
0.2742906,0
0.4171503,0
0.47542515,1
0.63422567,1
0.7442378,1
0.66494095,1
0.49726865,1
0.56211627,1
0.36402246,1
0.7698701,1
0.5515644,1
0.51256514,1
0.38156208,1
0.56787854,1
0.20682642,1
0.40310422,1
0.7797426,1
0.5253057,1
0.20391487,1
0.32581034,1
0.49115658,1
0.79666793,1
0.85089594,1
0.28666008,1
0.46791264,1
0.23677598,1
0.75527304,1
0.614286,1
0.56947446,1
0.43547407,1
0.53750795,1
0.65303665,1
0.70398206,1
0.84981585,1
0.78080374,1
0.46726194,1
0.3647898,1
0.8718436,1
0.8642912,1
0.8154588,1
0.69634825,1
0.8718279,1
0.19650586,1
0.17300206,1
0.072226435,1
0.068783775,1
0.3569133,1
0.5402548,1
0.81425494,1
0.8139905,1
0.65431315,1
0.5559909,1
0.52607244,1
0.35605308,1
0.6215419,1
0.6227008,1
0.23057428,1
0.48918104,1
0.2749546,1
0.71642935,1
0.8794651,1
0.5707821,1
0.6748139,1
0.5424009,1
0.28891,1
0.41586748,1
0.83647335,1
0.71764153,1
0.57710314,1
0.5296983,1
0.14523819,1
0.77548176,1
0.7381481,1
0.75944054,1
0.6473635,1
0.46274698,1
0.5917998,1
0.592502,1
0.3474005,1
0.65364605,1
0.80662215,1
0.6366522,1
0.5299691,1
0.28779614,0
0.3814444,0
0.56250453,0
0.17092624,0
0.21536142,0
0.13567935,0
0.28584877,0
0.09493899,0
0.08972191,0
0.07696021,0
0.41130084,0
0.4373897,0
0.2734366,0
0.078910656,0
0.04713066,0
0.20815627,0
0.22211552,0
0.23921528,0
0.19781497,0
0.06924355,0
0.49764103,1
0.42237926,1
0.7868615,1
0.69950897,1
0.49218723,1
0.52387893,1
0.36682683,1
0.43604773,1
0.14090778,0
0.17360117,0
0.034451216,0
0.094600685,0
0.042849753,0
0.15442957,0
0.18726425,0
0.110801265,0
0.30192837,0
0.22298945,0
0.50167626,0
0.44987255,0
0.26797324,0
0.2403454,0
0.36042526,0
0.65711653,0
0.33904988,0
0.60879827,0
0.43065104,0
0.17410016,0
0.07842536,0
0.17260325,0
0.31157345,0
0.06780981,0
0.12930827,0
0.10404599,0
0.20079058,0
0.3406683,1
0.26211217,1
0.291776,1
0.49195462,1
0.5763232,1
0.56595004,1
0.6203519,1
0.439354,1
0.4933664,1
