preds,labels
0.0024752014,0
0.010222422,1
0.009436552,1
0.01003462,1
0.006571406,1
0.0014219069,0
0.01575879,1
0.005188651,1
0.008216291,1
0.006218708,0
0.0020822256,0
0.0017593715,0
0.013134107,1
0.0035525528,1
0.0113369925,1
0.008242675,1
0.001571202,0
0.002670758,0
0.010184236,1
0.0013045147,0
0.012387486,1
0.0011492909,0
0.0019337237,1
0.012305809,1
0.0056942026,1
0.010497959,1
0.0024108514,0
0.001989934,0
0.012202092,1
0.0014507453,0
0.009462499,1
0.007156014,1
0.0082768295,1
0.0056766947,1
0.0035493306,0
0.0016842682,0
0.0014131705,0
0.0019547886,0
0.0015745505,0
0.0017987008,0
0.010350567,1
0.0018042924,0
0.00400884,0
0.005819611,0
0.010276215,0
0.010578148,1
0.0038248159,0
0.0020497723,0
0.0016575517,0
0.006972579,0
0.013639102,1
0.0011468884,0
0.0017272327,0
0.0065443437,1
0.008791717,1
0.0014543815,0
0.0017885944,0
0.013627841,1
0.003817244,0
0.0015254809,0
0.0017063362,1
0.011445687,1
0.013576462,1
0.0018135235,0
0.0018533934,0
0.0017542351,0
0.0017221367,0
0.0016338726,0
0.001822617,0
0.0059202663,1
0.002084391,0
0.0027639049,0
0.0010534537,0
0.007143125,1
0.0009247147,0
0.001584175,0
0.0017279586,0
0.0016954711,0
0.0022283555,0
0.004730882,1
0.0019908885,0
0.0013536984,0
0.010380755,1
0.010651468,1
0.001820286,0
0.0010463276,0
0.007826004,1
0.0015352095,0
0.00935454,1
0.008579884,1
0.012181048,1
0.0032913035,1
0.002854352,0
0.0017114007,0
0.0018254344,0
0.0016567453,0
0.0026284151,0
0.0018162489,0
0.0011362111,0
0.0018729601,0
0.0020802792,0
0.0037174607,0
0.0014787221,0
0.0014200974,0
0.0016650129,0
0.011713147,1
0.0020863232,0
0.011449019,1
0.009917024,0
0.006946028,1
0.006968749,1
0.012287398,1
0.0015405474,0
0.0010573091,0
0.001972731,0
0.002128612,0
0.0018179525,0
0.0063382187,1
0.01567746,1
0.0018931323,0
0.0076332497,1
0.0046001105,1
0.0016975837,0
0.008873673,1
0.0018719704,0
0.011201297,1
0.0017786851,0
0.0015123929,0
0.0019282924,0
0.01777217,1
0.011210927,1
0.009397755,1
0.0018866592,0
0.0052141096,1
0.0018699705,0
0.00202396,0
0.002167211,0
0.001917544,0
0.0013062138,0
0.008654633,1
0.0099634165,1
0.0016951717,0
0.0039222417,1
0.0028910083,1
0.010208176,1
0.002140166,0
0.0027284664,1
0.01084177,1
0.014708638,1
0.0016664792,0
0.0022248114,1
0.0061339876,0
0.0021129826,0
0.0011986182,0
0.014825339,1
0.00145988,0
0.002211157,0
0.0016729606,0
0.0019208594,0
0.0017489415,0
0.013742541,1
0.001625487,0
0.0015365301,0
0.0011857824,0
0.007931297,1
0.013877831,1
0.013970347,1
0.0027162281,0
0.004530984,0
0.0019563353,0
0.0015208386,0
0.0015166197,0
0.0017431668,0
0.0018037575,0
0.005653112,1
0.0018616281,0
0.006798337,1
0.0022486048,0
0.010320669,1
0.0067795585,0
0.011522466,1
0.014630195,1
0.007433788,1
0.004567811,0
0.007974846,1
0.002326736,0
0.00943422,1
0.0032686316,1
0.0014522547,0
0.011629469,1
0.009565953,1
0.0019455388,0
0.008691973,1
0.0016448685,0
0.0028731092,1
0.009738541,1
0.0024528366,0
0.007976528,1
0.00557235,1
0.0023388432,1
0.0014607556,0
0.0023324054,0
0.0012842444,0
