preds,labels
0.004002014,1
0.0019538102,0
0.0017765933,0
0.0019299141,0
0.003192076,1
0.0022555704,0
0.003726154,1
0.001983752,0
0.0030148046,1
0.0037789568,1
0.0019390909,0
0.0019835758,0
0.0047028987,1
0.004126589,1
0.004270205,1
0.0019321168,0
0.0019274878,0
0.0033354284,1
0.0017077203,0
0.003463508,0
0.001931785,0
0.0019306001,0
0.0018560949,0
0.0039265193,1
0.0024246504,0
0.001931312,0
0.0019234536,1
0.004127688,1
0.0025670736,1
0.0043560197,1
0.003549731,0
0.004374399,1
0.004145219,1
0.0018800208,0
0.0019309092,0
0.0041091624,1
0.0017367504,0
0.0039598984,1
0.0018666951,0
0.0018655316,0
0.0020881044,0
0.0042804442,1
0.0032832692,0
0.0018812999,0
0.001886695,0
0.0019298494,0
0.0043637496,1
0.004728259,1
0.0025547273,0
0.0036834208,1
0.0018345279,0
0.0027505243,0
0.004481264,1
0.0018800716,0
0.0019295079,0
0.00418949,1
0.0035365366,1
0.00192255,0
0.0033720725,1
0.004435069,1
0.0019286391,0
0.0036907576,1
0.002841103,0
0.0018463987,0
0.0036866376,1
0.001850603,0
0.0037570163,0
0.0030284026,0
0.00440734,1
0.0024271582,1
0.003833872,1
0.002993535,1
0.0021925205,0
0.004247897,1
0.003253575,1
0.0018730613,0
0.0017523841,0
0.0040743244,1
0.002958629,1
0.003691802,1
0.0046329163,1
0.001856283,0
0.0018491116,0
0.0043052277,1
0.00362804,1
0.0037987113,0
0.0019307117,0
0.0019335203,0
0.003562504,1
0.0041055805,1
0.004548488,1
0.004230118,1
0.004040305,1
0.0032971252,1
0.0019226201,0
0.003999172,1
0.0019021141,0
0.0019365007,0
0.0019301102,0
0.002051229,0
0.0017353236,0
0.0032853934,0
0.0019224673,0
0.0034984334,1
0.0019061737,0
0.0019305325,0
0.0030068061,0
0.004253405,1
0.0034148237,1
0.0038569546,1
0.0019342607,0
0.0019261317,0
0.0017961742,0
0.0038890252,1
0.0036944519,1
0.0018990561,0
0.0019308444,0
0.002757118,1
0.0044584405,1
0.0044731963,1
0.003487161,1
0.0018550453,0
0.0019282604,0
0.0045598075,1
0.0018816986,0
0.0035582327,1
0.003160564,0
0.0019259432,0
0.0032981085,0
0.0025317087,0
0.0019483843,0
0.00368778,1
0.0019576643,0
0.0043512234,1
0.0017953373,0
0.0018507327,0
0.0018712106,0
0.0019297912,0
0.0034086588,1
0.0018660179,0
0.0017292142,0
0.004077123,1
0.0034059756,1
0.0018977656,0
0.004190633,1
0.0027698732,1
0.0017577816,0
0.0037703759,1
0.0018357722,0
0.0019308752,0
0.0023847222,0
0.0027612078,0
0.0021263547,0
0.002968295,0
0.0016914115,0
0.0019294408,0
0.002573998,1
0.0019077135,0
0.0019391997,0
0.0022025623,0
0.0040097362,1
0.0032773388,1
0.003527327,1
0.0019190048,0
0.0028917552,1
0.0019302028,0
0.0019222099,0
0.0041208765,1
0.0019102966,0
0.0019461475,0
0.0032528134,1
0.0022831669,1
0.004706929,1
0.003597211,1
0.0018765087,0
0.0026726832,0
0.0018848988,0
0.0021236497,0
0.0043907724,1
0.0027967894,1
0.003896882,1
0.0031888322,1
0.0019293125,0
0.0018281657,0
0.0041514663,1
0.0018642657,0
0.003745107,1
0.004112973,1
0.001989849,0
0.0019302458,0
0.00405433,1
0.001718988,0
0.003184538,1
0.0027936872,1
0.002780933,1
0.004368334,1
0.0018904218,0
0.0040851585,1
0.0019313386,0
0.0026010515,0
0.0031313119,1
