preds,labels
0.0062805098,1
0.0014352789,0
0.0017274489,0
0.0050639543,0
0.0012968344,1
0.016380461,1
0.032416962,1
0.022180405,1
0.0017383845,0
0.001739523,0
0.007509606,1
0.0021309431,0
0.0018104935,0
0.043858968,1
0.0017404325,0
0.0027351459,1
0.0019005631,0
0.0071144938,1
0.012092056,1
0.04827147,1
0.0027264175,0
0.022063147,1
0.0016277335,0
0.00691642,1
0.060660053,1
0.0017368267,0
0.014849006,1
0.0016775237,0
0.003984699,1
0.025045702,1
0.001854067,0
0.0017656314,0
0.019874116,0
0.0039442037,0
0.003497111,1
0.001721136,0
0.007644087,0
0.015688714,1
0.0027552305,1
0.0018868966,0
0.011095637,1
0.016851839,1
0.0032411956,1
0.0058993557,1
0.0015709449,0
0.0059006675,0
0.00078788237,0
0.0017261428,0
0.004970021,1
0.0052912454,1
0.028441433,1
0.0021664852,0
0.0017339778,0
0.00069127197,1
0.0017252754,0
0.001745608,0
0.00074654043,0
0.040790774,1
0.0017359719,0
0.0023528403,0
0.0017612636,0
0.0017962251,0
0.019020168,1
0.0024692507,0
0.0033349548,0
0.00068213354,0
0.002578592,0
0.0018399786,0
0.0018613179,0
0.011261217,1
0.015092718,1
0.0017463847,1
0.0017379253,0
0.0058789016,1
0.0014900754,0
0.050605014,1
0.0038711126,1
0.0017851973,0
0.011234332,0
0.017506609,1
0.0073646796,1
0.0017472622,0
0.0017440987,0
0.001745509,0
0.0012186473,0
0.0028116908,1
0.0019997172,0
0.008563336,0
0.031342573,1
0.0017501083,0
0.001134625,0
0.0017265923,0
0.0068778046,1
0.0024644285,0
0.011048646,1
0.0017391347,0
0.0033339374,1
0.006851697,1
0.0017255989,0
0.0007670107,0
0.005612442,1
0.014738386,0
0.031779714,1
0.017032415,1
0.013128034,0
0.004273436,0
0.0006613508,0
0.010228461,1
0.006248321,0
0.00278163,1
0.0058958884,1
0.0017490964,0
0.00054021325,0
0.0027479525,1
0.030107304,1
0.0011451909,0
0.0017594212,0
0.031655975,1
0.0020944108,0
0.0064904667,1
0.0017260036,0
0.001441255,1
0.0029969085,1
0.008842906,0
0.00618201,1
0.0017852653,0
0.011765131,1
0.0053318017,1
0.0017402115,0
0.0022468339,0
0.003141935,0
0.0012265695,1
0.0076002334,1
0.0068890355,1
0.005550471,1
0.0029822371,0
0.0037840167,0
0.0017423346,0
0.0057499744,0
0.0017744276,0
0.0011469742,0
0.009546406,1
0.0018198054,0
0.014162793,1
0.0073927552,1
0.0018155283,0
0.0015569582,0
0.001799022,0
0.0017381015,0
0.0017305403,0
0.03662967,1
0.0013024796,0
0.015253777,1
0.0021675779,0
0.0023545048,0
0.027174708,1
0.0017181829,0
0.0017450267,0
0.04454033,1
0.03308439,1
0.009255516,1
0.0017469777,0
0.01963435,1
0.027541218,1
0.004771377,1
0.011565682,1
0.0017210725,0
0.028065871,1
0.0017186817,0
0.0009779565,0
0.009209154,1
0.011792744,1
0.0014680205,0
0.013491186,1
0.0017578864,0
0.0030813906,1
0.0012918218,0
0.0030940275,1
0.0017345026,0
0.011011723,1
0.0034632275,1
0.0017294427,0
0.0017519906,0
0.042692,1
0.013828379,1
0.026290901,1
0.000955187,0
0.0013155524,0
0.00174617,0
0.0033984038,1
0.0017055998,0
0.0035258445,1
0.0019986397,1
0.0054185647,0
0.0017334324,0
0.0017417374,0
0.009125956,1
0.0017794844,0
0.0017420857,0
0.0009829811,0
0.022808056,1
