preds,labels
0.0030133463,0
0.0012996567,0
0.0022320745,1
0.001368988,1
0.0016733652,1
0.0024046525,0
0.0033608777,0
0.0012956521,1
0.0043136664,1
0.0015067509,1
0.00124147,0
0.0028479644,1
0.0012885912,0
0.0014398885,0
0.0019128906,1
0.0020239206,0
0.0011376487,0
0.0013432386,0
0.0026723177,1
0.0034585875,1
0.0022206476,0
0.0016577588,1
0.0026890975,0
0.0014830235,1
0.0017097065,0
0.0024987862,0
0.0014740417,0
0.001723387,0
0.0014279468,1
0.0012458393,0
0.0013638589,0
0.0011560697,1
0.0033813573,0
0.0019054249,1
0.001448459,1
0.0027765306,0
0.0020170426,1
0.0014206227,1
0.0014998113,1
0.0014685509,0
0.0016353435,0
0.0018378609,1
0.002299316,0
0.001261071,1
0.0019660133,1
0.0018399471,0
0.0021394636,1
0.0017646145,1
0.0014547559,1
0.0014904963,0
0.0019599178,1
0.0018886988,1
0.0016011099,1
0.0012762302,1
0.0017032187,0
0.0032153719,1
0.0014387938,0
0.0019573858,1
0.0022123181,0
0.0030937323,1
0.0031231064,0
0.0012889325,0
0.0015955272,1
0.0012694238,0
0.0014431073,0
0.0017199846,1
0.0018979706,0
0.00221629,0
0.0013389129,0
0.0022024864,0
0.005233061,1
0.0016455989,0
0.002790823,0
0.0014421652,0
0.0016554506,1
0.001690433,1
0.0018133001,0
0.003671375,1
0.0018816653,0
0.0020988907,1
0.0016287635,0
0.0015212625,1
0.0023286857,0
0.0013301938,1
0.0014894563,1
0.002742424,0
0.0027323235,0
0.0020905815,0
0.0028990968,0
0.0025994824,1
0.003040476,1
0.001966828,0
0.0015134813,1
0.0023714171,1
0.0011465397,0
0.0018967105,1
0.0012959421,1
0.0020240927,0
0.001807435,0
0.0018345314,0
0.0022297422,0
0.0021166631,1
0.00148657,0
0.0014603633,1
0.0013058515,0
0.0012848498,0
0.0064624073,1
0.0019057774,0
0.0039770533,0
0.0020853493,1
0.0020018823,1
0.0026938284,1
0.0032955408,0
0.0013841359,1
0.0011238536,0
0.0011217472,0
0.0013334807,0
0.0017916727,1
0.001169847,0
0.0031271493,1
0.0027402027,1
0.0019785846,1
0.0018165305,0
0.0012685566,0
0.0022585518,0
0.0013867813,1
0.0016614789,1
0.0014804451,0
0.0017054535,0
0.0012737821,0
0.0046028285,1
0.0014815748,0
0.0016453959,0
0.001966133,1
0.0013079143,1
0.0027501322,0
0.0012953077,0
0.0026637788,1
0.0017694441,1
0.001637423,0
0.0025346682,1
0.0022673742,0
0.002242517,1
0.0025626856,1
0.00368457,1
0.0041356073,1
0.0031185236,0
0.0012640946,1
0.0014605923,0
0.001993445,1
0.0018240332,0
0.004178279,0
0.0013860954,0
0.0025089523,1
0.003663979,0
0.001333357,0
0.0027866587,1
0.0020041321,0
0.0019649707,1
0.003765221,1
0.0023044036,1
0.001366998,0
0.0016844699,0
0.002543935,1
0.002701904,1
0.0019000992,1
0.0029730122,1
0.0027219811,1
0.0025186548,0
0.001845465,0
0.0019287725,0
0.0054765064,0
0.0023611272,1
0.001639146,0
0.0013912392,1
0.0017385497,1
0.004251094,1
0.0015816174,1
0.0016221036,0
0.0024081876,0
0.0042583356,0
0.0015067547,0
0.001759406,1
0.00133718,0
0.0015684153,0
0.0015371628,0
0.0020630083,0
0.0017252638,0
0.0015884463,0
0.0039807856,0
0.001544454,0
0.0016494392,1
0.002912061,0
0.004339804,1
0.0014808163,0
0.0023523855,0
0.0023225315,0
0.0026880347,0
0.0018137919,0
0.0022658308,0
0.0035210822,1
