preds,labels
0.003568753,0
0.005256121,1
0.0016858531,0
0.01220266,1
0.0022012952,0
0.01777534,1
0.0047748354,0
0.0022702166,0
0.012363432,1
0.004339002,0
0.0033488087,0
0.0017187536,0
0.0017258356,0
0.0017047622,0
0.0022181252,0
0.015056474,1
0.0017823929,1
0.00509326,1
0.012938488,1
0.028315682,1
0.0016602306,0
0.0023348408,0
0.0035441064,0
0.0053940956,1
0.002015132,0
0.0017144649,0
0.0027321659,0
0.0017045448,0
0.0019782553,1
0.0017422882,0
0.0031859444,0
0.008504597,1
0.0016776953,0
0.008160599,1
0.0017203479,0
0.018824197,1
0.0033997465,1
0.0017390056,0
0.005705721,0
0.0015870568,0
0.0023249213,0
0.0019576869,0
0.015072895,1
0.004962913,0
0.001698905,0
0.001694526,0
0.0017673393,0
0.0035665478,1
0.0143957995,1
0.012489797,1
0.0052216193,1
0.0070025744,1
0.0017183513,0
0.015479431,1
0.002055941,0
0.0033455754,1
0.01134703,1
0.0058545186,0
0.006271391,1
0.009245196,1
0.0028059639,1
0.0017756603,0
0.0018946662,0
0.0020764465,0
0.0017069363,0
0.0020138547,0
0.021074006,1
0.0022844963,0
0.010083003,1
0.0016280892,0
0.02309476,1
0.0021904672,0
0.0017285192,0
0.0044678105,0
0.0017057257,0
0.0017143933,1
0.005450213,1
0.0023128332,0
0.006043187,1
0.015111375,1
0.0016287684,0
0.001696891,0
0.0021404703,1
0.002094346,0
0.0022130215,0
0.0016887662,0
0.018501792,1
0.0030318194,1
0.0026709286,0
0.0047415267,1
0.0016007173,0
0.0016948103,0
0.0019771436,0
0.0016074299,0
0.010365058,1
0.0017330168,0
0.0017088013,0
0.0017030218,0
0.0017282099,0
0.0024497497,0
0.0038234475,1
0.0042199064,1
0.012343982,1
0.023022328,1
0.0021882092,0
0.0047510257,1
0.00568045,0
0.010011802,1
0.0018928848,0
0.0062951418,1
0.0016761286,0
0.018539408,1
0.0017290467,0
0.0029490227,1
0.011432406,1
0.003219857,1
0.0017017717,0
0.0035185523,1
0.0017314886,0
0.0017437382,0
0.00872136,0
0.006357267,1
0.0017299517,0
0.010500119,0
0.0016369931,0
0.009923126,0
0.027054306,1
0.004828164,0
0.0018660302,0
0.0035479409,0
0.0018581001,0
0.011952496,0
0.0016995963,0
0.0017872077,0
0.006278311,1
0.0019571646,0
0.0022105584,1
0.002274422,0
0.0024633496,1
0.014418873,1
0.0018002169,1
0.012633143,0
0.0016501223,0
0.0031090346,0
0.008530592,1
0.0021576472,0
0.0030099272,1
0.009486417,1
0.0026134017,1
0.0017080513,0
0.0019501908,1
0.0025590758,1
0.0016459381,0
0.002376403,1
0.031968154,1
0.0037194174,0
0.0014704925,0
0.025706388,1
0.0017081108,0
0.0017165289,0
0.0025115935,0
0.0017016835,0
0.02048997,1
0.0016856836,0
0.0027210761,1
0.005035238,1
0.007982467,1
0.0016434132,0
0.0017185,0
0.009175619,1
0.008550955,1
0.0034623595,0
0.0018624966,0
0.0017828799,0
0.0032574579,1
0.01108014,1
0.0026673605,0
0.0041147647,1
0.006862443,1
0.0015469891,0
0.0016934254,0
0.003124392,0
0.0019108411,1
0.0025550167,0
0.015429544,1
0.0017336045,0
0.001640459,0
0.0042129126,0
0.0016800411,0
0.0019740383,0
0.005514713,1
0.0017189702,1
0.0017616675,0
0.023476882,1
0.004376966,0
0.0017157433,0
0.013004918,1
0.023584323,1
0.0047543985,1
0.0084292805,1
0.0034598426,0
0.0016828247,0
0.016160948,1
