preds,labels
0.6300453,0
0.9374726,1
0.9409494,1
0.054357167,1
0.031097721,0
0.9480006,1
0.48743033,1
0.089120016,0
0.8974557,1
0.78034055,1
0.034346983,0
0.7907683,0
0.20617712,0
0.8847395,1
0.10169799,0
0.99528486,1
0.7917803,1
0.19051541,0
0.83231086,1
0.07765594,0
0.12157863,0
0.096251436,0
0.95107466,1
0.19797897,0
0.88040805,1
0.95754015,1
0.85225147,0
0.03496427,0
0.046999305,0
0.017753663,0
0.3565517,0
0.1954262,0
0.054052368,0
0.9105346,1
0.5798317,1
0.9045351,1
0.049722232,0
0.9633929,1
0.1256509,0
0.9366242,1
0.19814083,0
0.06490534,0
0.7101223,1
0.78439045,1
0.9320169,1
0.08537473,0
0.8598025,1
0.90827835,1
0.8132277,1
0.07278518,0
0.063489586,0
0.08094714,0
0.6453384,1
0.9794018,1
0.110701576,0
0.9212296,1
0.2934206,1
0.14508745,0
0.9718176,1
0.40208927,0
0.9271802,1
0.9478777,1
0.797475,1
0.9032769,1
0.67950517,0
0.29477137,0
0.037277058,0
0.03398624,0
0.96705073,1
0.09180267,0
0.07840848,0
0.13094535,0
0.9640697,1
0.63485557,0
0.92850435,1
0.48028877,0
0.95637214,1
0.34842408,0
0.040770162,0
0.8911929,1
0.16005276,1
0.87806773,1
0.043515142,0
0.84523606,1
0.81749284,1
0.96341956,1
0.29478794,1
0.23555121,0
0.078828186,0
0.94411,1
0.9830111,1
0.9608389,1
0.6666753,1
0.7546996,1
0.32907867,0
0.15263344,1
0.52480793,1
0.64447945,1
0.030817106,0
0.062111318,0
0.11356322,0
0.85942847,0
0.9578337,1
0.055220675,0
0.07596722,0
0.049032,0
0.03839176,0
0.06843459,1
0.3041723,1
0.06965605,0
0.07739199,0
0.9277603,1
0.8527536,0
0.6049512,1
0.8537064,0
0.97238773,1
0.9458443,1
0.1231205,0
0.080238864,0
0.10006501,0
0.672462,1
0.09957991,0
0.9625471,1
0.063135296,0
0.05383784,0
0.38202983,0
0.98611206,1
0.09010547,0
0.10104568,0
0.8712612,1
0.051603936,0
0.22239326,0
0.89836997,1
0.27035323,0
0.24851891,0
0.08134861,0
0.4518257,0
0.030420808,0
0.10068289,0
0.107445486,0
0.9482862,1
0.10572305,0
0.65500855,1
0.2867504,1
0.069759004,0
0.7836265,1
0.041644752,0
0.10966824,0
0.94388497,1
0.9703261,1
0.911575,0
0.1371486,0
0.049581226,0
0.9171042,1
0.7782326,0
0.9399444,0
0.063275985,0
0.050285947,0
0.17264837,0
0.66063696,1
0.3828338,1
0.34651902,1
0.08463062,0
0.05761163,0
0.93819964,1
0.39354482,1
0.9314337,1
0.8904486,1
0.11216373,0
0.79864407,1
0.93128735,0
0.098251514,0
0.11913878,0
0.04199481,0
0.3508102,1
0.5192898,1
0.8387871,1
0.47529063,1
0.9069701,0
0.062233333,0
0.041398816,0
0.014163988,0
0.70047253,0
0.9564645,1
0.91674435,1
0.11124811,0
0.82247627,1
0.04862009,0
0.61130095,1
0.3567837,1
0.90361667,1
0.043897353,0
0.96216816,1
0.049982026,0
0.073440164,0
0.089455836,0
0.7437968,0
0.89532703,1
0.7888645,1
0.09717913,0
0.6221122,1
0.9241765,0
0.03665359,0
0.92809194,1
0.07852009,0
0.040185414,0
0.45299992,1
0.0511053,0
0.12736547,0
0.09828413,0
0.9105594,1
0.046997935,0
0.9714162,1
