preds,labels
0.30395824,0
0.15413891,0
0.08321222,0
0.046118807,0
0.035545006,0
0.03085554,0
0.06624091,0
0.1765106,0
0.80517185,0
0.8542403,1
0.37920338,0
0.5813738,0
0.93460655,1
0.06624967,0
0.9536142,1
0.0454592,0
0.067038395,0
0.74416876,1
0.07820721,0
0.0702748,0
0.15417036,0
0.054760646,0
0.9157988,1
0.9701867,0
0.81265104,0
0.9734342,1
0.13676669,0
0.9702157,1
0.032585986,0
0.68890435,1
0.9137121,1
0.036917355,0
0.048863806,0
0.73741055,0
0.05562084,0
0.95305735,1
0.92216897,1
0.080622114,0
0.039338503,0
0.931022,1
0.7956213,1
0.042390894,0
0.95271933,1
0.60936815,1
0.028258754,0
0.032058742,0
0.34071344,0
0.03999328,0
0.09061944,0
0.027863448,0
0.35442764,0
0.050106462,0
0.9373262,1
0.9019124,1
0.9027383,1
0.7766669,1
0.054209135,0
0.9155596,1
0.9270183,1
0.042063378,0
0.05887194,0
0.026006991,0
0.026028028,0
0.05405611,1
0.05151322,0
0.094155796,0
0.05037252,0
0.97684735,0
0.13057914,0
0.9565965,1
0.01763345,0
0.95919204,1
0.046291836,0
0.3761443,0
0.9516743,1
0.047419798,0
0.07069129,0
0.18087874,0
0.064608805,0
0.7596306,0
0.029359883,0
0.100225374,0
0.026344078,0
0.7271297,0
0.9661854,1
0.040057085,0
0.7240203,1
0.18760976,0
0.87112427,1
0.043878444,0
0.06950466,0
0.116668664,0
0.83589315,1
0.04728113,0
0.34808993,1
0.055912703,0
0.05642239,0
0.76712465,1
0.94992435,1
0.95406294,1
0.9426001,1
0.92987645,1
0.022041708,0
0.3833999,0
0.27729982,0
0.89654076,1
0.9020031,1
0.03421823,0
0.746352,1
0.90403736,1
0.7829595,0
0.05296443,0
0.03520841,0
0.03305445,0
0.90783805,1
0.43417463,0
0.47838682,1
0.67573416,0
0.9010001,1
0.028410973,0
0.2494888,0
0.90690005,1
0.16698958,0
0.05138163,0
0.09409721,0
0.05430353,0
0.2307417,0
0.28096154,0
0.6496283,0
0.028034402,0
0.96844673,1
0.029690191,0
0.05884217,0
0.8372687,1
0.046995543,0
0.90144765,1
0.9490233,1
0.042521898,0
0.9330143,1
0.011960835,0
0.8623489,1
0.8587278,1
0.9501876,1
0.85938394,1
0.06017341,0
0.65825176,0
0.54219764,1
0.9250598,1
0.5420582,0
0.041560493,0
0.87890035,1
0.985712,1
0.88775796,1
0.1126724,0
0.9388261,1
0.739126,1
0.01876624,0
0.736605,1
0.02055492,0
0.07160633,0
0.9499007,1
0.8874538,1
0.044274937,0
0.96123415,1
0.91458917,1
0.9152902,1
0.63958186,1
0.117136806,0
0.10077813,0
0.78514886,1
0.43694192,1
0.8612687,1
0.032215722,0
0.12479887,0
0.9713921,1
0.94640744,1
0.5335732,0
0.2582074,0
0.8217575,1
0.7885411,1
0.084634654,0
0.9526611,1
0.9851356,1
0.69085443,1
0.099933416,0
0.052601174,0
0.054986257,0
0.9294179,1
0.02804996,0
0.93492866,1
0.95009506,1
0.8790109,1
0.90641606,1
0.6764403,0
0.06363028,0
0.9221268,1
0.048394777,0
0.93614894,1
0.8990243,1
0.20198673,1
0.61392295,1
0.9157794,1
0.03207284,0
