preds,labels
0.0015990039,1
0.008293706,1
0.0023990928,1
0.0048552025,1
0.0024009082,0
0.001698794,0
0.004049162,1
0.0017294682,0
0.0030564906,1
0.0016335313,0
0.008290288,1
0.006580743,1
0.010686347,1
0.0016698376,0
0.008424956,1
0.0016517012,0
0.0015032068,0
0.0017172561,0
0.0024289966,1
0.0016512147,0
0.006515534,1
0.0016837912,0
0.0022344054,0
0.0016874427,0
0.0036900078,1
0.0015815306,0
0.0022740744,0
0.0016922456,0
0.0017091625,0
0.0068782913,1
0.0021645473,0
0.0016509932,0
0.0060025705,1
0.0016401219,0
0.0016907093,0
0.0090000285,1
0.0019311468,0
0.009379105,1
0.0017127749,0
0.0036505808,1
0.0016358224,0
0.0027454009,0
0.0022710066,1
0.0016449366,0
0.003362576,1
0.0024322036,0
0.008572454,1
0.008370856,1
0.00173,0
0.0027198603,0
0.0052725845,1
0.0013866778,0
0.0025042156,1
0.0079011945,1
0.009111495,1
0.0018491584,0
0.0014759674,0
0.008062399,1
0.0042651757,1
0.0017415738,0
0.0020170538,0
0.0016986821,0
0.0016208942,0
0.003044074,1
0.001691359,0
0.0033794309,0
0.0016972689,0
0.0046888394,1
0.003857237,0
0.02453391,1
0.01880995,1
0.0020771674,0
0.0053497492,1
0.0016881506,0
0.0018561062,0
0.0017471474,0
0.0016747675,0
0.0051828003,1
0.0017026563,0
0.0016733534,0
0.0017808436,0
0.0016948313,0
0.007627511,1
0.0031116544,1
0.0018483825,0
0.0061604613,1
0.0029972326,1
0.008725454,1
0.0016762395,0
0.0027705599,1
0.006074039,1
0.0029861943,0
0.0016819964,0
0.0016910422,0
0.001635428,0
0.002389544,1
0.0015305149,0
0.003558433,1
0.001697752,0
0.0039159795,1
0.0016331649,0
0.0065355245,1
0.0016482677,0
0.005378386,1
0.010961997,1
0.0032225319,1
0.0027284508,1
0.002285804,1
0.007139021,1
0.0016678512,0
0.001851683,0
0.0017018949,0
0.001652912,0
0.0023860873,0
0.004001267,1
0.0042015566,1
0.0016635418,0
0.002331398,0
0.0017186889,0
0.0037119235,1
0.013963615,1
0.009371576,1
0.0016950852,0
0.0019427688,0
0.0016851714,0
0.0027952062,0
0.0017020789,0
0.0027261511,0
0.0061478666,1
0.0045612194,1
0.0024635359,0
0.0021415162,0
0.01728428,1
0.001665453,0
0.0019135616,0
0.0046234983,1
0.0016923923,0
0.0017201237,0
0.0016878309,0
0.002489268,1
0.0021956917,0
0.004094501,1
0.0017184021,0
0.004557203,1
0.0047649015,1
0.0018753436,0
0.0017544647,1
0.0016860736,0
0.0018835336,0
0.001682558,0
0.0028989692,1
0.0034961614,1
0.0016956337,0
0.0029363977,1
0.0021564725,1
0.0019925805,0
0.0030775487,1
0.002035649,0
0.0028615813,1
0.0017466578,0
0.003334091,1
0.004472014,1
0.001751271,0
0.001699247,0
0.0025751598,0
0.0017479024,0
0.0017092535,0
0.0016741067,0
0.0016998011,0
0.0045915106,1
0.0045335568,1
0.0051393905,1
0.0025745165,1
0.0019931141,0
0.0040736482,1
0.0016906805,0
0.0023522188,0
0.0018249624,0
0.013878863,1
0.008736067,1
0.0034591067,1
0.023259377,1
0.001690737,0
0.0016479826,0
0.0018046217,0
0.0017272544,0
0.010149618,1
0.0027959188,1
0.0020273589,0
0.014507472,1
0.0016528916,0
0.0016917242,0
0.0016852516,0
0.001647004,0
0.0051457975,1
0.005502092,1
0.001792939,0
0.0017804793,0
0.0016563489,0
0.00926864,1
0.014750706,1
0.0016944364,0
0.001652554,0
0.0029760916,0
0.001721339,0
0.0028697958,0
0.0058275717,1
0.0033813738,1
