preds,labels
0.0019066321,0
0.0019069858,0
0.005746897,0
0.03387949,1
0.0019053572,0
0.001990837,0
0.0021062845,0
0.0019076964,0
0.0019151355,0
0.03794326,1
0.0019291337,0
0.0055785473,1
0.0022246917,0
0.040218264,1
0.0035986076,0
0.0013747338,0
0.0019082446,0
0.0019874263,0
0.0019037361,0
0.0128780035,0
0.0124365855,1
0.0049040327,1
0.0018946198,0
0.020029396,1
0.021476598,1
0.0019474132,0
0.0019077734,0
0.0019093959,0
0.0098720435,0
0.004657563,0
0.0019914773,0
0.013395544,1
0.0019242814,0
0.00196525,0
0.0018984071,0
0.008896262,1
0.0018948951,0
0.002479388,0
0.006834429,1
0.0035387932,0
0.0018963887,0
0.0143884905,1
0.0019233135,0
0.0020427727,0
0.0018955175,0
0.0070394375,1
0.0019091014,0
0.001955293,0
0.02483718,1
0.020557854,1
0.0019437602,0
0.001914088,0
0.0019259511,0
0.0020018355,0
0.0020260792,0
0.0019616159,1
0.030670563,1
0.0019036436,0
0.0019484798,0
0.0025018808,0
0.002115311,0
0.0019935132,0
0.0020949708,0
0.0019039783,0
0.0053098095,0
0.0020333012,0
0.0019610825,0
0.012404112,1
0.016260043,1
0.03539905,1
0.0018987018,0
0.014113476,1
0.004140589,1
0.0023285104,0
0.0069834865,1
0.0016532809,0
0.0028749239,1
0.0019087492,0
0.023882085,1
0.004454643,1
0.0019108708,0
0.0018926306,0
0.0043551833,1
0.0019104102,0
0.001899313,0
0.004849452,1
0.001893623,0
0.0019145445,0
0.0018944307,0
0.0019059209,0
0.014476625,1
0.0024976032,0
0.0021818804,0
0.027556418,1
0.0019872417,0
0.010720364,1
0.004665795,0
0.0019115314,0
0.001914123,0
0.03623766,1
0.0022023013,0
0.0022643611,0
0.0019755347,0
0.004043287,0
0.0019044728,0
0.0019424256,0
0.0005641522,1
0.0019285142,0
0.0023511066,0
0.0036442399,1
0.0019202741,0
0.001905924,0
0.004129508,1
0.0104251355,0
0.03281173,1
0.0026306638,0
0.0019111877,0
0.00197216,0
0.0019008971,0
0.0019738548,0
0.0019089573,0
0.0019336564,0
0.001981314,0
0.0019067576,0
0.013035364,1
0.01868399,1
0.001999549,0
0.0019122519,0
0.0018945632,0
0.015921153,1
0.0019423518,0
0.0019036841,0
0.0019330714,0
0.001957582,0
0.0019194096,0
0.0052478565,1
0.0019045906,0
0.0031589766,0
0.0019111991,0
0.0019083834,0
0.0025549124,0
0.0018902691,0
0.00685846,1
0.008898501,0
0.0021017615,0
0.0019457106,0
0.0019453954,0
0.0019165128,0
0.0063915225,1
0.001937397,0
0.0020485625,0
0.007583586,0
0.0026821303,0
0.0019073387,0
0.0019208955,0
0.0019290056,0
