preds,labels
0.0016984846,0
0.0030349821,0
0.0027478256,1
0.0022994112,1
0.017437758,1
0.0016842362,0
0.0017440721,0
0.0017123306,1
0.0017467096,0
0.0016750742,0
0.0019154414,0
0.0021777188,1
0.02745834,1
0.0023331053,0
0.0019280118,0
0.0018315567,1
0.00830821,1
0.001271332,0
0.001764524,0
0.0017143537,0
0.0015852639,0
0.004384456,0
0.0020443858,0
0.0019179666,0
0.0017130267,0
0.00860281,1
0.00190964,1
0.002725783,0
0.0012359644,1
0.0017854157,0
0.002303513,1
0.001319243,0
0.00172322,0
0.0017421298,0
0.0017087323,0
0.0033665916,1
0.0005299605,0
0.002007667,0
0.0017634132,0
0.052731223,1
0.001191658,0
0.0032072337,1
0.026497526,1
0.001780202,0
0.0020944844,0
0.001754451,0
0.000751533,0
0.0013651634,0
0.003732292,0
0.0019579062,0
0.012836717,1
0.0017170956,0
0.0017267584,0
0.0021738864,0
0.0008938365,0
0.0007409655,0
0.0017510239,0
0.0024702928,0
0.0018260098,0
0.0017533144,0
0.0018035824,0
0.04358853,1
0.0019494317,0
0.0056220386,1
0.0018217318,0
0.0021749637,0
0.0021770953,0
0.0016395039,0
0.0020707045,0
0.0017333924,0
0.0027275782,0
0.0019692536,0
0.018029228,1
0.0011706112,0
0.0019971037,0
0.0018527842,0
0.0017376185,0
0.0016850557,0
0.0017460505,0
0.0069260234,1
0.00062072795,0
0.0017487083,1
0.007518414,1
0.0017712392,0
0.079567015,1
0.0021877426,0
0.024012059,1
0.0011318825,0
0.0022093488,0
0.0016520759,0
0.0017707985,0
0.011836949,1
0.0017366596,0
0.0017582471,0
0.0017315259,0
0.0015209228,0
0.0018340584,0
0.0017662963,0
0.00196231,0
0.0017868225,1
0.0017067358,0
0.0017064314,0
0.0034097184,0
0.0017790197,0
0.0003160297,0
0.0017556562,0
0.004138312,1
0.0009897449,0
0.0038442921,0
0.0020440617,0
0.0017401042,0
0.0018538473,0
0.017304575,1
0.079032704,1
0.0017025701,0
0.00095145626,0
0.0014228465,0
0.0017342863,0
0.0009661303,0
0.0024970185,0
0.0019030786,0
0.0017697653,0
0.001082574,0
0.0027111198,0
0.0016507808,0
0.0025377274,0
0.003162502,1
0.0020002692,1
0.0018538451,0
0.0024299114,0
0.01684033,1
0.018274171,0
0.001743486,0
0.0086697005,1
0.0019283803,0
0.0017004965,0
0.0025894032,0
0.0009838165,0
0.0020235395,1
0.0076852706,0
0.0026337262,0
0.0017220541,0
0.14513329,1
0.0014191106,0
0.0018148362,0
0.0022671428,0
0.0059841983,1
0.001729614,0
0.0038097228,0
0.0010822592,0
0.025933627,1
0.0017301441,0
0.003342552,0
0.0052332953,0
0.030825632,1
0.112490125,1
