preds,labels
0.0040395865,0
0.0012161675,0
0.002785433,0
0.0014474711,0
0.018217556,1
0.028282758,1
0.0048384513,0
0.0012455395,0
0.0034010462,0
0.001177257,0
0.0020136726,0
0.0014928442,0
0.0015327636,0
0.001357482,0
0.0025610647,0
0.0012576682,0
0.0022574018,0
0.008006453,1
0.122009896,1
0.0022708003,0
0.0012267862,0
0.015916701,1
0.0014118381,0
0.0012507321,0
0.10169844,1
0.07931658,1
0.0016113907,0
0.0011855207,0
0.0027460004,1
0.0015406464,0
0.016696265,1
0.0012083685,0
0.0070638075,0
0.010008083,1
0.0012866546,0
0.0054906206,0
0.0012319087,0
0.0038383498,0
0.0013500183,0
0.0030714578,0
0.007868068,1
0.002719805,0
0.0011107707,0
0.0027991082,0
0.0026398455,0
0.06445953,0
0.002457978,0
0.010761876,1
0.0031029398,1
0.006892941,1
0.010876124,1
0.0011434493,0
0.010234759,1
0.027924517,0
0.0011673498,1
0.0016932773,0
0.055264957,1
0.045787193,1
0.041617677,1
0.13227499,1
0.0013438789,0
0.0045054774,0
0.0013288982,0
0.0016723974,0
0.0013742707,0
0.0017634599,0
0.0012226742,0
0.001998604,0
0.0019963915,1
0.04507316,1
0.0030990976,0
0.0011593613,0
0.0014536841,0
0.009349943,0
0.0077958205,1
0.0011626951,0
0.0016571736,0
0.0019626082,0
0.021148585,0
0.0014449474,0
0.016592596,0
0.0011559569,0
0.001323234,0
0.002562348,0
0.0014279146,0
0.0073686005,1
0.0011035117,0
0.0013422482,0
0.0014107528,0
0.101054534,1
0.0013644956,0
0.03877461,1
0.0013740165,0
0.0012432197,0
0.0015759781,0
0.012646156,1
0.0014089348,0
0.014935581,0
0.0024958283,0
0.0033128902,0
0.0024334688,0
0.0014963029,0
0.12061357,1
0.0061841398,0
0.0017169605,0
0.0013890357,0
0.0024111555,0
0.005291939,0
0.0012112475,0
0.0013022382,0
0.005361685,1
0.001412149,0
0.0060306434,1
0.0017788485,0
0.0020131767,0
0.0012421935,0
0.0026319423,0
0.001391089,0
0.0011904591,0
0.001275768,0
0.0031185562,0
0.0013088651,0
0.0015513652,0
0.0013585464,0
0.0013545149,0
0.018819606,1
0.0011889833,1
0.1680336,1
0.0018454525,0
0.0031993717,0
0.0012721035,0
0.07055743,1
0.034553245,1
0.002539381,0
0.0016643008,0
0.0011522996,0
0.0015160157,0
0.052225653,1
0.013254661,0
0.060992047,1
0.001269386,0
0.006635846,1
0.002278475,0
0.0039664633,0
0.0018087735,0
0.0013160025,0
0.0011436497,0
0.0012205864,0
0.20938525,1
0.0017188045,0
0.021289542,1
0.0033836972,1
0.001237758,0
0.0015301735,0
0.0013335834,0
0.0018785493,0
