preds,labels
0.0027994583,1
0.007936887,0
0.0026894778,1
0.00899161,1
0.002776645,1
0.0021119209,1
0.0040265424,1
0.007434246,1
0.004679982,1
0.0049218927,1
0.0021916335,1
0.003731356,0
0.0023637833,1
0.0033394098,1
0.002987873,1
0.0038516703,1
0.0022397984,1
0.0029449647,1
0.0037994976,1
0.0033241927,0
0.0040402184,1
0.0023027323,1
0.0024897403,1
0.0034324387,1
0.0020374027,0
0.0047084475,1
0.009928624,1
0.0018413794,0
0.0032260339,1
0.0050855004,1
0.002676134,1
0.0063712485,0
0.0023407864,0
0.003546453,1
0.004533193,0
0.0019644336,1
0.0053128377,1
0.0024858036,1
0.0039799893,1
0.0027229916,1
0.0034298704,0
0.010156294,1
0.0025888947,1
0.0017762183,1
0.0053380607,1
0.0050915102,1
0.0022422753,1
0.012504819,1
0.0044944044,0
0.0035135748,1
0.0026762392,1
0.0036302917,1
0.0066147125,1
0.0025825305,1
0.0021802452,1
0.002505054,1
0.0027586326,1
0.0033863434,1
0.0050253454,1
0.0020848445,1
0.0024730386,0
0.0015532161,1
0.0027858005,1
0.0041077076,1
0.0035245533,1
0.0031307654,1
0.00367126,1
0.0058631003,1
0.001682121,1
