preds,labels
0.23920862,0
0.34965423,0
0.3378986,0
0.17785525,0
0.17736113,0
0.30255607,0
0.27675605,0
0.24103208,0
0.11118678,0
0.36348516,0
0.29406083,0
0.22561473,0
0.23141004,0
0.35974124,0
0.48384,0
0.37192655,0
0.11558207,0
0.24593104,0
0.15119044,0
0.3653176,0
0.21581914,0
0.2122803,0
0.23590273,0
0.31064612,0
0.31371054,0
0.32385942,0
0.25095984,0
0.11640896,0
0.23857628,0
0.34663445,0
0.08603015,0
0.33638743,0
0.19998795,0
0.3447407,0
0.46982095,0
0.16263595,0
0.3213475,0
0.17782755,0
0.18365535,0
0.12593178,0
0.28958467,0
0.25151196,0
0.2908723,0
0.23284133,0
0.24653164,0
0.16432534,0
0.23059872,0
0.32208228,0
0.3697285,0
0.38832176,0
0.34844497,0
0.32090116,0
0.19073638,0
0.25774893,0
0.13399325,0
0.04301027,0
0.26391366,0
0.37114745,0
0.41484502,0
0.09107401,0
0.19365649,0
0.4032461,0
0.26442772,0
0.27421525,0
0.29323688,0
0.065880686,0
0.23729725,0
0.25136086,0
0.22946456,0
0.24507172,0
0.21757416,0
0.31426883,0
0.2695952,0
0.16835111,0
0.24363868,0
0.41817188,0
0.21669881,0
0.075259395,0
0.1371013,0
0.4785313,0
0.35427567,0
0.21160519,0
0.16829088,0
0.23740911,0
0.25297174,0
0.13932447,0
0.24390954,0
0.30331188,0
0.2347369,0
0.3647465,0
0.06544231,0
0.3938971,0
0.22695236,0
0.28265756,0
0.27892596,0
0.25704956,0
0.13810737,0
0.36952257,0
0.15045407,0
0.2752089,0
0.237106,0
0.2688823,0
0.18999185,0
0.38574404,0
0.19985162,0
0.23818395,0
0.20513704,0
0.11212057,0
0.25371444,0
0.19739069,0
0.289568,0
0.3755685,1
0.5285855,1
0.31703162,1
0.340492,1
0.26150733,1
0.4267632,1
0.48047054,1
0.14344838,1
0.48530486,1
0.30033228,1
0.37649104,1
0.29503024,1
0.3555091,1
0.26758656,1
0.28568748,1
0.2415831,1
0.45158145,1
0.28180957,1
0.41757998,1
0.5053031,1
0.4643643,1
0.3733944,1
0.2680815,1
0.35759607,1
0.50024307,1
0.34260017,1
0.43506366,1
0.29379228,1
0.26104143,1
0.39889672,1
0.324004,1
0.33435977,1
0.3291423,1
0.41028827,1
0.16994241,1
0.38642156,1
0.3610332,1
0.38590547,1
0.19999328,1
0.36915547,1
0.43091974,1
0.35821894,1
0.17956373,1
0.27111393,1
0.21506931,1
