preds,labels
0.0019513568,0
0.0019514998,0
0.0019512668,1
0.0019550738,0
0.0019676702,0
0.0019512376,0
0.0020305868,0
0.0019514451,0
0.0019511884,0
0.0019849858,1
0.0022075195,0
0.0019513158,0
0.0019512635,0
0.0034338683,1
0.0019514078,0
0.0019511991,0
0.0019520754,0
0.0019513688,0
0.0019730744,0
0.0019513178,0
0.0019513725,0
0.0023200684,1
0.001962262,1
0.0019511703,0
0.0019609563,0
0.0021665213,1
0.0019514847,0
0.001964853,0
0.0019684634,0
0.001989348,1
0.0019903176,0
0.0031876795,1
0.0028086628,1
0.0019578096,0
0.0019514477,0
0.0019645935,0
0.0019513988,0
0.0019506947,0
0.0019512669,0
0.0024213616,1
0.0019512039,1
0.001964719,1
0.0019512732,0
0.0019511709,0
0.0019580193,0
0.0023645489,1
0.0019512888,0
0.0019514731,0
0.0019512516,0
0.0019513982,0
0.001951361,0
0.0023678767,1
0.0019509878,1
0.0019511121,0
0.0019513255,0
0.0019513115,0
0.0019565972,1
0.0019510193,0
0.00195112,0
0.0019512424,0
0.0019513555,0
0.0019512029,0
0.0019512315,0
0.0019514294,0
0.001951164,0
0.0023150465,1
0.001951297,0
0.0028632716,1
0.0019514291,0
0.0019515153,0
0.0019512422,0
0.0019518923,0
0.0019512237,0
0.0024949617,1
0.0019512969,0
0.0019512839,0
0.0019512558,0
0.0019514663,0
0.002559985,1
0.0019513023,0
0.0026508486,1
0.0019512711,0
0.0019513478,0
0.0019510142,0
0.0019538829,0
0.0019512068,0
0.0019513029,0
0.0019515204,0
0.0020198927,0
0.0019512406,0
0.00264957,1
0.0019514174,0
0.0022679206,1
0.0019668508,1
0.001951426,0
0.0019514541,0
0.0019512593,0
0.0019513174,0
0.0019509983,0
0.0019512444,0
0.0019542775,0
0.0019514122,0
0.0019513333,0
0.0019514122,0
0.0019509328,1
0.0019513428,0
0.00195133,0
0.0019513579,0
0.002980228,1
0.0019669302,1
0.0019511707,0
0.0019515778,0
0.0027804582,1
0.0019514028,0
0.0019513748,0
0.0019512217,0
0.0019512408,0
0.0019512592,0
0.0019513868,0
0.001963835,0
0.0019513415,0
0.0019638303,1
0.0025072782,1
0.0029290235,1
0.0019514236,0
0.001951247,0
0.0029264465,1
0.0019512865,1
0.0019908436,1
0.002776845,1
0.0019512099,0
0.0020458852,0
0.0019511782,0
0.0028401706,0
0.0019514357,0
0.0019807816,0
0.00234569,1
0.0019513173,0
0.0019513447,0
0.0019511845,0
0.0019513245,0
0.0028481442,1
0.001951364,0
0.0019673181,0
0.0019514353,0
0.0019513818,0
0.0019513788,0
0.0019511945,0
0.0019513511,0
0.002341578,1
0.0019512512,0
0.0019514804,0
0.0019785855,1
0.0019513088,0
0.0032782939,1
0.0019697517,0
