preds,labels
0.001941663,0
0.002117014,1
0.0022958533,0
0.0021651667,1
0.0020088146,0
0.0019384067,0
0.0031085645,1
0.0019406824,0
0.0029184676,1
0.001936493,0
0.00339093,1
0.0019424708,0
0.0029925182,1
0.0019392469,0
0.0019375397,0
0.0019388703,0
0.002647717,1
0.0023249506,0
0.0019404946,0
0.0019405583,0
0.0019386677,0
0.0019392568,0
0.0020556175,0
0.002053165,1
0.00322769,1
0.001948973,0
0.0019429742,0
0.0019387616,0
0.0024417182,1
0.002085622,1
0.0047047385,1
0.0024268345,0
0.0019425413,0
0.0019389527,0
0.0019603616,0
0.0019412042,1
0.0022980403,0
0.0022886908,0
0.0019510108,0
0.0040345904,1
0.0019950524,0
0.0019391109,0
0.0019351002,0
0.0019421432,0
0.0019341166,0
0.0019420875,0
0.002899659,1
0.0029763477,1
0.0019405005,0
0.0019419608,0
0.0019379393,0
0.001938404,0
0.0026085246,0
0.0019686762,0
0.0019405349,0
0.0019798423,0
0.0019368518,0
0.0019416036,1
0.003340234,1
0.0019406312,0
0.0019429573,0
0.003270683,1
0.0032348377,1
0.0019397052,0
0.0019509711,0
0.0019379423,1
0.0028456617,1
0.0019383302,0
0.0019387325,0
0.0029924256,1
0.0019402953,0
0.002672856,1
0.001969598,0
0.0019380234,0
0.0019556603,0
0.0019977717,0
0.0019363195,0
0.0020403124,0
0.0019372733,0
0.0019391525,0
0.0019391793,0
0.0033118566,1
0.001949667,0
0.0019411269,0
0.0026544791,1
0.0020949247,0
0.0019391959,0
0.0023204836,1
0.0021367988,1
0.003014925,1
0.0019386449,0
0.0032740163,1
0.0019394557,0
0.0019381337,0
0.0019581388,0
0.0019382936,0
0.0019533583,0
0.0019352019,0
0.0019591125,0
0.0030965793,1
0.0019358931,0
0.0019390673,0
0.0019372029,0
0.0019361431,0
0.0019410308,0
0.0019375257,1
0.0019467691,0
0.0019414021,0
0.0019362562,0
0.0019793806,0
0.0019998814,1
0.001940407,0
0.0019420835,0
0.001939505,0
0.0019354479,0
0.0030128795,1
0.0019342792,0
0.0038793436,1
0.0019379973,0
0.0020965005,1
0.00193071,0
0.0019405681,0
0.002156604,1
0.0019378215,0
0.0019381841,0
0.0031177786,1
0.0035138228,1
0.0019459188,0
0.002064341,0
0.0019426204,0
0.0020760796,1
0.0019409157,0
0.004240034,1
0.0020150836,0
0.0019511362,0
0.0019392474,0
0.0019404837,0
0.001942647,0
0.0020893693,1
0.0029047383,1
0.0019415972,0
0.00194277,0
0.002033461,1
0.0019364742,0
0.0019406752,0
0.001939932,0
0.0020941226,0
0.0019838521,0
0.002003801,0
0.0019380284,0
0.001938895,0
0.0024488154,0
0.0019397706,0
0.0021136652,1
0.0019389085,0
0.0019404949,0
