preds,labels
0.001952596,0
0.0019232571,0
0.0019197061,0
0.020605532,1
0.0020289782,0
0.0019212684,0
0.0017167708,0
0.0074270065,0
0.0019541932,0
0.002345017,0
0.0019317782,0
0.0019929684,0
0.0021138808,0
0.0014889492,0
0.0028370554,0
0.0019941009,0
0.0019159919,0
0.0019542486,0
0.0058000106,1
0.0019330106,1
0.007540924,1
0.0019176356,0
0.0019363846,0
0.0019208473,0
0.0019181258,0
0.004240556,1
0.0019195257,0
0.0062442417,1
0.0019111731,0
0.0019241152,0
0.001918653,0
0.009437118,1
0.001913469,0
0.0025499638,0
0.0020096863,0
0.012280912,1
0.0019518104,0
0.0032261508,0
0.005361181,1
0.0024067159,0
0.0019155063,0
0.0019472798,0
0.0019342437,0
0.0025140166,0
0.0019185959,0
0.005544641,1
0.02076908,1
0.0019183846,0
0.00191801,0
0.0045101037,1
0.0019811797,0
0.0019204326,0
0.0019210365,0
0.0019243612,0
0.0019189089,0
0.0025035294,1
0.012820209,1
0.0026197527,0
0.0019395028,0
0.015695542,1
0.0034172065,1
0.012580435,1
0.0019188405,0
0.0019148095,0
0.0019409372,0
0.0019136096,0
0.002538166,0
0.001923181,0
0.001917218,0
0.0019524825,0
0.0019158919,0
0.0019314113,0
0.0022979735,0
0.0027501113,0
0.0019196732,0
0.0019692467,0
0.0019224943,0
0.0019216716,0
0.014570773,1
0.0020026872,0
0.0033476409,0
0.0019195797,0
0.0019184438,0
0.0019104747,0
0.015412033,1
0.0013597859,0
0.02118789,1
0.015303239,1
0.0038475068,0
0.017867537,1
0.0019184443,0
0.0019219852,0
0.0034127731,1
0.0123376725,1
0.008636829,0
0.0019207803,0
0.0019147196,0
0.00626108,1
0.0019406123,0
0.0019163366,0
0.02314809,1
0.0019146036,0
0.0023402076,1
0.0019361068,0
0.0019195381,0
0.0031923521,1
0.0019180937,0
0.001993743,0
0.04178275,1
0.0019152899,0
0.001964667,0
0.014702494,0
0.0019106378,0
0.001917931,0
0.0026507492,1
0.0027367966,1
0.0019176423,0
0.0019649968,0
0.0058848243,1
0.0019363234,0
0.0019148492,0
0.006800777,1
0.0021050994,0
0.0052327993,1
0.003990896,0
0.0019122722,0
0.017574072,0
0.0019200514,0
0.0019090003,0
0.0054712617,1
0.0019121346,0
0.0054750885,1
0.0020331265,0
0.0020292653,0
0.0019222805,0
0.0020236706,0
0.02817214,1
0.0055784266,0
0.001940682,0
0.0029762657,1
0.0019233298,0
0.0021396065,0
0.0019805543,0
0.0024430791,1
0.001990386,0
0.0011681813,1
0.018185252,1
0.010413524,1
0.0022217485,0
0.0019158665,0
0.0019631279,0
0.008314214,0
0.0019787138,0
0.0020490473,0
0.0019128966,0
0.0019591867,0
