preds,labels
0.0020592145,0
0.0013062012,0
0.00709804,1
0.0018062341,0
0.0051971804,0
0.003058401,0
0.009201149,1
0.0009778022,0
0.043456834,1
0.037643634,1
0.0021129614,0
0.0018072713,0
0.0021925294,0
0.0026192153,0
0.0011190908,0
0.0013860443,0
0.0018425825,0
0.0018862928,1
0.0010600219,1
0.05837702,1
0.0050482457,0
0.004920482,0
0.0042165364,0
0.0050616157,1
0.0011649551,0
0.0010463923,0
0.0015019032,0
0.036480803,1
0.0010703132,0
0.012593607,1
0.0012964689,0
0.0021591904,0
0.0012190616,0
0.0016909782,1
0.0076175756,0
0.0014619648,0
0.0015199791,0
0.0013034521,0
0.0126346005,1
0.0012322618,0
0.0018237589,0
0.0014204846,0
0.0094570685,1
0.00407379,0
0.004235207,0
0.0017504175,0
0.010405809,1
0.001452318,0
0.0021701448,0
0.018089699,1
0.001122677,0
0.011559144,1
0.0012789204,0
0.0012611719,0
0.0018606317,0
0.0017082489,0
0.0013203709,0
0.0012037554,0
0.0019175255,0
0.0009444281,0
0.001175997,0
0.048392344,1
0.0010730283,0
0.0045482456,1
0.051313728,0
0.0016498577,0
0.0060228873,0
0.0014895689,0
0.015837522,1
0.0013759269,0
0.009299017,1
0.0012440622,1
0.0018931997,0
0.014559403,1
0.001547557,0
0.0020794112,0
0.0013447668,0
0.0010009435,0
0.0020299393,0
0.044305086,1
0.0015284992,0
0.0052639795,1
0.0012024624,0
0.031446867,1
0.0038247176,1
0.10463235,1
0.001339118,0
0.034605574,1
0.0034707703,0
0.0013190671,0
0.0015390161,0
0.001526842,0
0.036829934,1
0.0010786082,0
0.0014407594,0
0.009320555,1
0.0012169435,0
0.0014011402,0
0.0013674198,0
0.048759915,1
0.003061835,0
0.00358235,0
0.004816479,0
0.001459339,0
0.0026442457,0
0.0014343576,0
0.0016996972,0
0.0020741448,1
0.0013280995,0
0.0036849056,0
0.003909241,0
0.0032268725,0
0.0018029048,0
0.0008110721,0
0.0024719848,0
0.0010477925,0
0.0014570187,0
0.001994852,1
0.0036998026,0
0.0048824837,0
0.004777079,1
0.0074050697,0
0.0013900013,0
0.0013823322,0
0.0011903956,0
0.0011821855,0
0.0045028627,0
0.0016764851,0
0.0017810343,1
0.0030565925,1
0.0060669286,0
0.0012353838,0
0.005115465,0
0.008176855,1
0.0018237962,0
0.0012794969,0
0.07108031,1
0.0010542356,0
0.00091604836,1
0.0015964147,0
0.004561564,0
0.0067431284,1
0.059924923,1
0.0014811237,0
0.0017304162,0
0.0015825403,0
0.0014747783,0
0.11218921,1
0.05101097,0
0.0014978348,0
0.0011283584,0
0.0038388872,0
0.002573514,0
0.0035632132,0
0.0011494192,1
0.0011515026,0
