preds,labels
0.80592984,1
0.84658676,1
0.86402637,1
0.8719924,1
0.75833994,1
0.8388625,1
0.7499411,1
0.75442827,0
0.7937187,0
0.81411904,1
0.86921644,0
0.8425957,0
0.7312527,0
0.84929293,1
0.8388971,1
0.7709424,1
0.74020535,1
0.8016759,1
0.83053905,1
0.7402714,1
0.82200724,0
0.75077593,1
0.73154694,1
0.93900996,1
0.77765894,1
0.8157364,1
0.85087067,1
0.7765094,1
0.7861402,1
0.81229526,1
0.7290411,0
0.82279104,1
0.93969434,1
0.6978124,1
0.7813584,1
0.8019309,0
0.7770441,0
0.7724066,0
0.7804097,1
0.8413711,1
0.8408671,1
0.7934226,1
0.8501342,1
0.78147477,1
0.8848177,1
0.7168033,0
0.7049822,1
0.8055021,1
0.69960564,1
0.74639183,1
0.8867976,1
0.7723684,1
0.7964811,1
0.83468693,1
0.7847377,1
0.78881645,1
0.71167874,1
0.73361206,1
0.78276795,1
0.8045846,1
0.80325276,1
0.8289061,1
0.8388546,1
0.92629594,1
0.7482042,1
0.73652303,1
0.8340763,1
0.78430325,1
0.84829324,1
