preds,labels
0.9060663,0
0.67573977,1
0.72641385,1
0.6383192,1
0.74357814,1
0.8934321,1
0.80967027,1
0.84042424,1
0.8591061,1
0.80153507,1
0.90675163,1
0.79611975,1
0.72999275,1
0.5708922,1
0.9078595,1
0.80205554,1
0.8299273,1
0.80258626,1
0.6999839,1
0.7614725,1
0.7521114,1
0.801414,1
0.76112336,1
0.85677457,1
0.6871897,0
0.7778461,1
0.749217,1
0.72787446,1
0.5691544,1
0.75804585,1
0.7173494,1
0.8404118,1
0.9005066,1
0.72923857,0
0.8344218,1
0.82137156,0
0.7280519,1
0.7875265,1
0.8566996,1
0.7243517,1
0.83414876,1
0.80879956,1
0.86442614,1
0.77822375,1
0.7662199,0
0.77562654,1
0.78662115,1
0.83085376,1
0.82493335,1
0.61661583,1
0.7251461,0
0.74904215,0
0.80714905,1
0.8773748,1
0.9195576,1
0.7693869,1
0.72728616,1
0.7576022,1
0.77512676,1
0.89705575,0
0.76432127,1
0.7727836,1
0.83559227,1
0.8198256,1
0.70495576,1
0.84352314,1
0.8027775,1
0.8051429,1
0.90392613,1
0.7297513,1
