preds,labels
0.83325905,1
0.8853931,1
0.9421822,1
0.8251758,1
0.80558497,1
0.7918248,1
0.8334757,1
0.70787865,0
0.82650185,0
0.8294461,1
0.71776795,0
0.7642847,0
0.8458452,0
0.8554755,1
0.8835542,1
0.81341475,1
0.7550825,1
0.77354115,1
0.8272659,1
0.799393,1
0.91430944,0
0.69716537,1
0.8942548,1
0.92494243,1
0.82628924,1
0.8414096,1
0.9300505,1
0.7531788,1
0.769276,1
0.93835074,1
0.8335863,0
0.90213335,1
0.7371815,1
0.8414992,1
0.8091999,1
0.8427375,0
0.8358858,0
0.80215436,0
0.85029393,1
0.92162126,1
0.8577405,1
0.8314428,1
0.8844387,1
0.8493913,1
0.9319168,1
0.7875427,0
0.8316715,1
0.7645732,1
0.87839323,1
0.7362594,1
0.9061273,1
0.81108683,1
0.83018357,1
0.9585134,1
0.92225313,1
0.87639356,1
0.7452112,1
0.72787124,1
0.817667,1
0.76705956,1
0.7911723,1
0.7683675,1
0.8841943,1
0.87427497,1
0.83245707,1
0.8498573,1
0.8477851,1
0.8330967,1
0.9082829,1
