preds,labels
0.8280488,1
0.75635487,0
0.7557069,0
0.75392795,1
0.7655751,1
0.80013806,1
0.829093,1
0.7825022,1
0.7681219,1
0.79159915,1
0.7746164,1
0.84943926,1
0.7963574,0
0.77943146,1
0.8259537,1
0.7575012,1
0.800489,1
0.773055,1
0.7929774,1
0.8258939,1
0.77878106,1
0.8349542,1
0.7792962,0
0.77280295,0
0.7687415,1
0.81965786,1
0.8073079,1
0.81597966,1
0.81245565,1
0.83458114,1
0.7592375,0
0.77802855,1
0.77566844,1
0.80547833,1
0.8378573,1
0.8549472,1
0.76655406,0
0.82595223,1
0.75756675,1
0.8340814,0
0.828901,1
0.8259823,1
0.83852834,1
0.82185996,0
0.7314333,0
0.816124,1
0.8635727,1
0.76796454,1
0.7392799,0
0.8314097,1
0.82626384,1
0.7854761,1
0.7919184,1
0.79390985,1
0.7795245,1
0.7823429,1
0.7916616,1
0.73154694,1
0.7727972,0
0.7761938,0
0.8278398,1
0.7829166,1
0.8058463,1
0.8348218,1
0.81066144,1
0.7775042,1
0.7582271,1
0.8193541,0
0.74252975,1
0.81804776,1
0.81491333,1
0.7983924,0
