preds,labels
0.83278954,1
0.8816488,1
0.86191505,1
0.7924227,1
0.7494738,1
0.73722595,1
0.7694117,1
0.72319543,0
0.76207274,0
0.80644965,1
0.85894585,0
0.7684363,0
0.8723693,0
0.8488746,1
0.8148749,1
0.76665753,1
0.8423777,1
0.79043186,1
0.72867113,1
0.7726078,1
0.759263,0
0.795559,1
0.7930303,1
0.8876085,1
0.852365,1
0.8921813,1
0.7928108,1
0.8659611,1
0.8306435,1
0.80035967,1
0.7949689,0
0.8371722,1
0.76852494,1
0.79805285,1
0.8717071,1
0.8080017,0
0.9107215,0
0.82799554,0
0.8186271,1
0.8130717,1
0.9195213,1
0.82802063,1
0.8304343,1
0.83521265,1
0.87539077,1
0.8298868,0
0.7516835,1
0.83726925,1
0.8045293,1
0.8144076,1
0.76693547,1
0.81327754,1
0.82490087,1
0.8087636,1
0.81207603,1
0.88008153,1
0.7225149,1
0.82457983,1
0.7703448,1
0.91612685,1
0.8396535,1
0.8277724,1
0.85986006,1
0.7824478,1
0.78960097,1
0.85703796,1
0.8388848,1
0.7527924,1
0.89270246,1
