preds,labels
0.77449715,1
0.70636654,0
0.56308126,0
0.8032943,1
0.92146266,1
0.8460959,1
0.8637575,1
0.8313623,1
0.8923229,1
0.81201476,1
0.8444694,1
0.7778064,1
0.8773243,0
0.94578713,1
0.88383025,1
0.82947963,1
0.88779765,1
0.75960135,1
0.7899382,1
0.87658966,1
0.6869231,1
0.8243855,1
0.77646816,0
0.8342227,0
0.79467994,1
0.6514455,1
0.7441232,1
0.7349119,1
0.9538601,1
0.82324183,1
0.7067118,0
0.75241154,1
0.837045,1
0.5957769,1
0.6972739,1
0.72303855,1
0.8906276,0
0.85189617,1
0.7717544,1
0.9353832,0
0.918818,1
0.87443674,1
0.8718283,1
0.7973912,0
0.7579031,0
0.8954615,1
0.8451621,1
0.9400409,1
0.74587846,0
0.957082,1
0.92487544,1
0.7883147,1
0.7704996,1
0.8590094,1
0.8445276,1
0.7663285,1
0.7774689,1
0.7128864,1
0.738822,0
0.85628545,0
0.9330179,1
0.8998087,1
0.79521185,1
0.82009596,1
0.81711,1
0.826905,1
0.82794255,1
0.8048719,0
0.8344904,1
0.80715597,1
0.8065923,1
0.7732327,0
