preds,labels
0.0023422022,0
0.0020266492,0
0.002021718,1
0.0017972329,1
0.0022151137,1
0.0019911304,1
0.0019653342,1
0.0023013987,1
0.0018886366,1
0.002317659,1
0.002084902,1
0.002214035,1
0.0019017154,1
0.0022270626,1
0.0021510273,1
0.0019868242,0
0.0021939771,1
0.0021913568,1
0.0021013974,1
0.0022366664,1
0.0021810692,0
0.00225571,1
0.0020906262,0
0.002181805,1
0.0021288942,0
0.0020950402,1
0.0021303364,1
0.0023358888,1
0.0022490162,1
0.0022514604,1
0.0018914612,1
0.0022244807,1
0.0022377325,1
0.0022104378,1
0.0017965253,1
0.002306966,1
0.0022894698,1
0.0022277709,1
0.0021291797,0
0.002242268,1
0.0019480075,0
0.0023175192,0
0.0020605815,1
0.0018250911,1
0.0022604563,1
0.0019568976,0
0.0022021518,1
0.0018249609,1
0.0018559279,1
0.0020426225,0
0.0021275673,1
0.002200854,1
0.0018516274,1
0.0022113265,1
0.0022804087,1
0.0021455337,1
0.0018463777,1
0.0021248881,1
0.0023183278,1
0.0018490406,1
0.0022139754,1
0.0022152038,0
0.0019498514,1
0.0021418298,0
0.0022495869,1
0.0022432199,1
0.0021480846,1
0.0022164925,1
0.0022005397,1
