preds,labels
0.0022953956,1
0.002267527,1
0.0020242683,1
0.0021578672,1
0.002259049,1
0.002203845,1
0.0021914847,1
0.0024592336,1
0.0023003344,1
0.0021978798,0
0.0023789988,1
0.002174523,1
0.0025105062,0
0.0021867931,1
0.002332998,1
0.0021411253,1
0.0021686135,1
0.0022792723,1
0.0021722643,1
0.0019230202,1
0.0022922857,1
0.002311194,1
0.0022717551,1
0.002368084,1
0.0019617574,1
0.0022983376,1
0.0025340465,1
0.002163598,1
0.002242185,1
0.0024169027,1
0.002192221,1
0.00242267,1
0.0021808564,1
0.0024327615,1
0.0023259898,1
0.0021882306,1
0.0026057481,1
0.0022156253,1
0.0021350957,1
0.0021650225,1
0.0021061744,1
0.002454548,1
0.0023999894,1
0.0024858678,1
0.0023092488,0
0.0023261653,1
0.002023079,1
0.0023097093,0
0.0020688602,1
0.0022352124,1
0.0024155562,1
0.0019239584,0
0.002211283,1
0.002269785,1
0.002125622,1
0.0021150734,1
0.0021694666,1
0.0021578984,1
0.0018798325,0
0.002180434,0
0.001909998,1
0.002446785,1
0.0022070997,0
0.0021563875,1
0.0022818153,1
0.0025987572,1
0.002336583,1
0.002294636,1
0.0023604,1
0.0023898704,1
