preds,labels
0.0035232843,1
0.0029581343,1
0.003716557,0
0.0029660086,1
0.0032003017,1
0.0031881204,1
0.0031501823,1
0.0035247675,1
0.003239847,1
0.0031040623,1
0.0033335136,1
0.0029676845,1
0.0030077263,1
0.003431256,1
0.0028798496,0
0.0033624356,1
0.0032600323,1
0.0031690558,1
0.0035564022,1
0.003591465,1
0.0031258275,1
0.0031282934,1
0.0029531815,0
0.0037141729,1
0.003571893,1
0.002635881,0
0.0034170386,1
0.0036667895,1
0.002648155,0
0.0034624697,1
0.002935806,0
0.0035565319,1
0.002667061,1
0.0031571775,1
0.0028847554,1
0.0030169608,1
0.0034790393,1
0.0033503608,1
0.0034789569,1
0.003640937,0
0.0032917997,1
0.0035463127,1
0.0031680923,1
0.0031811967,0
0.0033463999,1
0.003281709,1
0.003538494,1
0.0031152565,1
0.0028639988,1
0.003068544,1
0.0031133315,1
0.0023330299,0
0.0030568026,1
0.0033939134,1
0.0026204516,0
0.0036090745,1
0.0032306537,1
0.002510335,0
0.0029436222,1
0.0027753357,0
0.0033326661,1
0.0024284413,1
0.0031690053,1
0.0035078553,1
0.0029426261,0
0.0034848587,1
0.0035584653,1
0.0029353616,1
0.0034376518,1
