preds,labels
0.0028556883,1
0.0036082866,1
0.0026691535,1
0.0044704042,1
0.011261669,1
0.0015468869,1
0.002125108,1
0.010667272,0
0.0017657552,0
0.0012277561,0
0.01379405,1
0.018671876,1
0.012725966,1
0.012979047,1
0.014471501,1
0.013765398,1
0.0035427837,1
0.0019746325,1
0.0025453945,1
0.012700735,1
0.0028233093,1
0.0026195238,1
0.014140372,1
0.0017521337,0
0.0023612254,1
0.0017900052,1
0.0018862636,1
0.0025930281,1
0.0027075817,1
0.0018686379,1
0.01929058,1
0.0014682079,0
0.0046151197,1
0.0022833266,1
0.0034973102,1
0.0011392236,1
0.013330662,1
0.002824545,0
0.01398477,1
0.0022608154,1
0.0021264204,1
0.0015360627,0
0.0026785603,1
0.004841761,1
0.0017309544,1
0.009166786,1
0.0015463884,1
0.0029042969,1
0.0025021255,1
0.001470512,1
0.0021886395,1
0.0018242708,0
0.001770175,1
0.0034072653,1
0.021822326,1
0.0019603248,1
0.0014363981,1
0.014598007,1
0.0016502218,1
0.0014899037,0
0.0027202205,1
0.0023084462,1
0.013121646,1
0.0017178722,1
0.012024279,1
0.0028980433,1
0.0016681523,0
0.0020496019,0
0.001246304,1
