preds,labels
0.0015019376,1
0.0015472652,1
0.0014936017,1
0.0014742719,1
0.0012851915,1
0.0016065768,1
0.001745695,1
0.0018165424,1
0.0012846483,1
0.0014346432,0
0.002086226,1
0.0014943529,1
0.0018475265,0
0.0012667554,1
0.0040301196,1
0.0015014105,1
0.0014601498,1
0.0020616287,1
0.0024769327,1
0.0013589107,1
0.004224491,0
0.0034145955,1
0.0015506038,0
0.0013771517,1
0.0011240626,0
0.0020100744,1
0.0011953806,0
0.0016163487,1
0.0028235463,1
0.002034935,0
0.0024826375,1
0.0012290402,1
0.001644726,1
0.0015700357,1
0.0029570698,1
0.0012960421,1
0.0013673317,1
0.0031070192,1
0.0015707666,1
0.0013981129,1
0.0014010002,1
0.0021726568,1
0.0010854563,1
0.001215339,1
0.0015786163,1
0.0014448448,1
0.001194989,1
0.0014992906,1
0.001271706,1
0.0016118257,1
0.0017938915,1
0.0015844686,1
0.001734962,1
0.0020315822,1
0.0015194368,1
0.0020999536,1
0.0018637177,1
0.001767312,1
0.0040049003,1
0.0012002118,0
0.0028307545,1
0.0019446015,1
0.0020600255,1
0.0014059466,1
0.0013177122,1
0.0016143422,1
0.003132626,1
0.0011948629,1
0.0015202358,1
0.0043008938,1
