preds,labels
0.593483,0
0.508889,0
0.8208753,1
0.52236694,1
0.84334666,1
0.8302335,1
0.82371354,0
0.6603885,1
0.661462,0
0.87032616,1
0.859921,0
0.57104045,1
0.82551724,1
0.6993814,1
0.8219695,1
0.766814,1
0.68161786,1
0.7051265,0
0.70367247,1
0.7707609,1
0.8041166,1
0.6837301,1
0.4339677,0
0.765117,1
0.74282205,1
0.36570883,0
0.6714149,1
0.57443166,1
0.7320562,1
0.6917091,0
0.7078701,0
0.7737639,1
0.38155648,1
0.78719705,1
0.7311748,1
0.8052291,1
0.6418049,1
0.38603556,0
0.74724156,1
0.45096496,1
0.8027293,1
0.75713825,1
0.84040594,1
0.68602306,1
0.66017824,1
0.7629617,1
0.8540439,1
0.81525075,1
0.45996296,1
0.4115235,1
0.7397673,1
0.6520536,1
0.75649136,1
0.78605133,1
0.6702001,1
0.7180398,1
0.81938845,1
0.8016788,1
0.7172134,0
0.6870272,1
0.7986133,1
0.7643411,1
0.56687343,1
0.60056776,1
0.857315,1
0.54518855,1
0.630793,1
0.59213495,1
0.85390145,1
0.37847742,0
0.4039381,0
0.56187904,0
